"id","year","short_title","notes","url","theme_title","start_date","end_date","city","state_province_region","country","references","contributors","attendance","entry_status","program_available","abstracts_available","search_text","label"
"371","2015","University of Kansas","","https://idrh.ku.edu/dhforum2015","peripheries, barriers, hierarchies: rethinking access, inclusivity, and infrastructure in global DH practice","2015-09-24","2015-09-26","Lawrence","Kansas","64","","Scott Weingart","","n","True","False","2015 University of Kansas Lawrence Institution object (981) Digital Humanities Forum Digital Humanities Forum","2015 - University of Kansas"
"372","2016","University of Kansas","","https://idrh.ku.edu/dhforum2016","Places, Spaces, Sites: Mapping Critical Intersections in Digital Humanities","2016-10-01","2016-10-01","Lawrence","Kansas","64","","Scott Weingart","","n","True","True","2016 University of Kansas Lawrence Institution object (981) Digital Humanities Forum Digital Humanities Forum","2016 - University of Kansas"
"373","2017","University of Kansas","","https://idrh.ku.edu/dhforum2017","Digital Storytelling and the Humanities","2017-09-28","2017-09-29","Lawrence","Kansas","64","","Scott Weingart","","n","True","False","2017 University of Kansas Lawrence Institution object (981) Digital Humanities Forum Digital Humanities Forum","2017 - University of Kansas"
"374","2019","University of Kansas","","https://idrh.ku.edu/dhforum2019","Bodies, Justice, Futures","2019-10-03","2019-10-04","Lawrence","Kansas","64","","Nickoal Eichmann-Kalwara, Scott Weingart","","r","True","False","2019 University of Kansas Lawrence Institution object (981) Digital Humanities Forum Digital Humanities Forum","2019 - University of Kansas"
"375","2018","University of Alabama","","https://adhc.lib.ua.edu/digitorium/?page_id=71","University of Alabama Digital Humanities Conference","2018-10-04","2018-10-06","Tuscaloosa","Alabama","64","","Scott Weingart","","n","True","True","2018 University of Alabama Tuscaloosa Institution object (892) Digitorium Digitorium","2018 - University of Alabama"
"376","2019","University of Alabama","","https://adhc.lib.ua.edu/digitorium/?page_id=69","","2019-10-10","2019-10-12","Tuscaloosa","Alabama","64","","Scott Weingart","","n","True","True","2019 University of Alabama Tuscaloosa Institution object (892) Digitorium Digitorium","2019 - University of Alabama"
"377","2020","University of Alabama","","https://adhc.lib.ua.edu/digitorium/","","2020-10-01","2020-10-03","Tuscaloosa","Alabama","64","","Anne Ladyem McDivitt","","n","False","False","2020 University of Alabama Tuscaloosa Institution object (892) Digitorium Digitorium","2020 - University of Alabama"
"378","2016","Michigan State University","","http://msudh.github.io/globaldh2016/","","2016-04-08","2016-04-09","East Lansing","Michigan","64","http://web.archive.org/web/20160731063959/http://msuglobaldh.org/schedule/","Scott Weingart","","n","True","False","2016 Michigan State University East Lansing Institution object (459) Global Digital Humanities Symposium Global DH","2016 - Michigan State University"
"379","2017","Michigan State University","","http://2017.msuglobaldh.org/","","2017-03-16","2017-03-17","East Lansing","Michigan","64","","Scott Weingart","","n","True","True","2017 Michigan State University East Lansing Institution object (459) Global Digital Humanities Symposium Global DH","2017 - Michigan State University"
"380","2018","Michigan State University","","http://2018.msuglobaldh.org/","","2018-03-22","2018-03-23","East Lansing","Michigan","64","","Scott Weingart","","n","True","True","2018 Michigan State University East Lansing Institution object (459) Global Digital Humanities Symposium Global DH","2018 - Michigan State University"
"381","2019","Michigan State University","","http://www.2019.msuglobaldh.org/","","2019-03-21","2019-03-22","East Lansing","Michigan","64","","Scott Weingart","","n","True","True","2019 Michigan State University East Lansing Institution object (459) Global Digital Humanities Symposium Global DH","2019 - Michigan State University"
"382","2020","Michigan State University","","https://web.archive.org/web/20200807153225/http://msuglobaldh.org/program/","","2020-03-26","2020-03-27","East Lansing","Michigan","64","","Scott Weingart, Nickoal Eichmann-Kalwara","","n","True","True","2020 Michigan State University East Lansing Michigan State University Global Digital Humanities Symposium Global DH","2020 - Michigan State University"
"383","2019","Akademie der Wissenschaften und der Literatur in Mainz","","https://graphentechnologien.hypotheses.org/tagungen/graphentechnologien-2019","","2019-01-18","2019-01-19","Mainz","","4","","Kristen Mapes","","n","True","False","2019 Akademie der Wissenschaften und der Literatur in Mainz Mainz Graph Technologies in Digital Humanities Graph Technologies in Digital Humanities","2019 - Akademie der Wissenschaften und der Literatur in Mainz"
"384","2020","University of Vienna; Akademie der Wissenschaften und der Literatur in Mainz","","https://graphentechnologien.hypotheses.org/657","","2020-02-21","2020-02-22","Vienna","","5","","Christoph Kudella","","n","True","True","2020 University of Vienna; Akademie der Wissenschaften und der Literatur in Mainz Vienna Institution object (21) Institution object (1121) Graph Technologies in Digital Humanities Graph Technologies in Digital Humanities","2020 - University of Vienna; Akademie der Wissenschaften und der Literatur in Mainz"
"385","2015","Nationale Bibliotheek","","https://www.kb.nl/nieuws/2015/historische-kranten-als-big-data","","2015-03-25","2015-03-25","The Hague","","1","","Willem R. J. Vermeulen","","n","True","False","2015 Nationale Bibliotheek The Hague Historische kranten als Big Data Historische kranten als Big Data","2015 - Nationale Bibliotheek"
"386","2017","Nationale Bibliotheek","","https://www.kb.nl/nieuws/2016/historische-kranten-als-big-data-ii-concepten-op-drift","","2017-06-20","2017-06-20","The Hague","","1","","Willem R. J. Vermeulen","","n","True","False","2017 Nationale Bibliotheek The Hague Historische kranten als Big Data Historische kranten als Big Data","2017 - Nationale Bibliotheek"
"387","2013","University of Nebraska-Lincoln","","https://cdrh.unl.edu/news-events/nebraskaforum","Hacking at Books","2013-02-07","2013-02-07","Lincoln","Nebraska","64","","Kristen Mapes","","n","False","False","2013 University of Nebraska-Lincoln Lincoln Nebraska Forum on Digital Humanities Nebraska Forum","2013 - University of Nebraska-Lincoln"
"388","2014","University of Nebraska-Lincoln","","https://cdrh.unl.edu/news-events/nebraskaforum","Digital Histories and Digital Authorship","2014-04-10","2014-04-11","Lincoln","Nebraska","64","","Kristen Mapes","","n","True","True","2014 University of Nebraska-Lincoln Lincoln Nebraska Forum on Digital Humanities Nebraska Forum","2014 - University of Nebraska-Lincoln"
"389","2015","University of Nebraska-Lincoln","","https://cdrh.unl.edu/news-events/nebraskaforum","Digital Cultural Heritage","2015-04-09","2015-04-10","Lincoln","Nebraska","64","http://web.archive.org/web/20150722013740/http://cdrh.unl.edu/news-events/DH15","Kristen Mapes","","n","True","True","2015 University of Nebraska-Lincoln Lincoln Nebraska Forum on Digital Humanities Nebraska Forum","2015 - University of Nebraska-Lincoln"
"390","2016","University of Nebraska-Lincoln","","https://cdrh.unl.edu/news-events/nebraskaforum","Video Games and the Humanities","2016-04-07","2016-04-08","Lincoln","Nebraska","64","","Kristen Mapes","","n","False","False","2016 University of Nebraska-Lincoln Lincoln Nebraska Forum on Digital Humanities Nebraska Forum","2016 - University of Nebraska-Lincoln"
"391","2017","University of Nebraska-Lincoln","","https://cdrh.unl.edu/news-events/nebraskaforum","Breaking Down Barriers: Social Justice, Cultural Memory and the Digital Humanities","2017-04-06","2017-04-07","Lincoln","Nebraska","64","","Kristen Mapes","","n","False","False","2017 University of Nebraska-Lincoln Lincoln Nebraska Forum on Digital Humanities Nebraska Forum","2017 - University of Nebraska-Lincoln"
"392","2018","University of Nebraska-Lincoln","","https://cdrh.unl.edu/news-events/nebraskaforum","New Storytellers: Digital Ethnic Studies","2018-10-25","2018-10-26","Lincoln","Nebraska","64","","Kristen Mapes","","n","False","False","2018 University of Nebraska-Lincoln Lincoln Nebraska Forum on Digital Humanities Nebraska Forum","2018 - University of Nebraska-Lincoln"
"393","2018","University of Nebraska-Lincoln","","https://cdrh.unl.edu/news-events/nebraskaforum","Shaping the Future","2018-04-12","2018-04-13","Lincoln","Nebraska","64","","Kristen Mapes","","n","False","False","2018 University of Nebraska-Lincoln Lincoln Nebraska Forum on Digital Humanities Nebraska Forum","2018 - University of Nebraska-Lincoln"
"394","2016","Purdue University","","https://cla.purdue.edu/academic/sis/p/african-american/symposium.html","Exploring the 'Humanity' in the Digital Humanities","2016-12-01","2016-12-03","West Lafayette","Indiana","64","","Amanda Visconti","","n","True","False","2016 Purdue University West Lafayette Institution object (612) Purdue African American Studies & Research Center Annual Symposium Purdue African American Studies & Research Center Annual Symposium","2016 - Purdue University"
"395","1990","Elvetham Hall","","","","1990-05-09","1990-05-12","Hampshire","England","65","","Scott Weingart","","n","False","False","1990 Elvetham Hall Hampshire Scholarship and Technology in the Humanities Scholarship and Technology in the Humanities","1990 - Elvetham Hall"
"396","1994","Elvetham Hall","","","Networking in the Humanities","1994-04-13","1994-04-16","Hampshire","England","65","","Scott Weingart","","n","False","False","1994 Elvetham Hall Hampshire Scholarship and Technology in the Humanities Scholarship and Technology in the Humanities","1994 - Elvetham Hall"
"397","2011","University of Texas at Austin","","http://web.archive.org/web/20110210174733/http://tilts.dwrl.utexas.edu:80/symposia/i","access, authority, & identity","2011-02-03","2011-02-05","Austin","Texas","64","","Scott Weingart","","n","True","False","2011 University of Texas at Austin Austin Texas Institute for Literary and Textual Studies TILTS","2011 - University of Texas at Austin"
"398","2011","University of Texas at Austin","","http://web.archive.org/web/20110831051015/http://tilts.dwrl.utexas.edu/symposia/second","digital humanities: teaching & learning","2011-03-10","2011-03-12","Austin","Texas","64","","Scott Weingart","","n","True","False","2011 University of Texas at Austin Austin Texas Institute for Literary and Textual Studies TILTS","2011 - University of Texas at Austin"
"399","2011","University of Texas at Austin","","http://web.archive.org/web/20110831050901/http://tilts.dwrl.utexas.edu/symposia/third/","the digital and the human(ities)","2011-05-26","2011-05-28","Austin","Texas","64","","Scott Weingart","","n","True","False","2011 University of Texas at Austin Austin Texas Institute for Literary and Textual Studies TILTS","2011 - University of Texas at Austin"
"400","1960","University of Tübingen","Attended by Busa, Quemada, Sebeok, Wexler, Wisbey, others","","Kolloquium über maschinelle Methoden der literarischen Analyse und der Lexikographie (The Symposium on Mechanical Methods of Literary Analysis and Lexicography)","1960-11-24","1960-11-26","Tübingen","","4","","Scott Weingart","","n","False","False","1960 University of Tübingen Tübingen","1960 - University of Tübingen"
"401","1964","Carnegie Mellon","","","The Computer and Modern Society","1964-06-06","1964-06-06","Pittsburgh","Pennsylvania","64","Herbert Simon Archive","Daniel Evans","","n","False","False","1964 Carnegie Mellon Pittsburgh","1964 - Carnegie Mellon"
"402","1967","Boulder","","","Computer Study of Medieval German Poetry","1967-08-03","1967-08-05","Boulder","Colorado","64","Beatie, Bruce A. “Computer Study of Medieval German Poetry: A Conference Report.” Computers and the Humanities, vol. 2, no. 2, 1967, pp. 65–70. JSTOR, www.jstor.org/stable/30203960. Accessed 17 Feb. 2020.

The program can be partially reconstructed, with titles guessed at, from the above reference, should no actual program be discoverable.","Scott Weingart","","n","False","False","1967 Boulder Boulder","1967 - Boulder"
"403","1969","State University College","","","Computer Applications to Problems in the Humanities: A Conversation in the Disciplines","1969-04-04","1969-04-05","Brockport","New York","64","""Proceedings : computer applications to problems in the humanities : a conversation in the disciplines"" (Burlebach)
https://www.worldcat.org/title/proceedings-computer-applications-to-problems-in-the-humanities-a-conversation-in-the-disciplines/oclc/726392357&referer=brief_results","Scott Weingart, Curtis Fletcher","","n","True","True","1969 State University College Brockport","1969 - State University College"
"404","1970","Pisa","[Scott Weingart has index to program in paper form]","","Convegno e della prima Scuola Internazionale / Convegno internazionale l'elaborazione elettronica in lessicologia e in lessicografia.","1970-08-16","1970-09-06","Pisa","","26","Zampolli, Linguistica Matematica e Calcolatori, 1973, Firenze
https://www.worldcat.org/title/linguistica-matematica-e-calcolatori-atti-del-convegno-e-della-prima-scuola-internazionale-pisa-16-viii6-ix-1970/oclc/877564","Scott Weingart","","n","True","False","1970 Pisa Pisa","1970 - Pisa"
"405","2013","Herzen State Pedagogical University","","http://www.netcabinet.ru/uploads/8/5/0/9/8509295/%D0%BD%D0%B0%D1%83%D0%BA%D0%B8_%D0%BE_%D0%BA%D1%83%D0%BB%D1%8C%D1%82%D1%83%D1%80%D0%B5_%D0%B2_%D0%BF%D0%B5%D1%80%D1%81%D0%BF%D0%B5%D0%BA%D1%82%D0%B8%D0%B2%D0%B5_%C2%ABdigital_humanities%C2%BB.compressed.pdf","Cultural Research in the Context of Digital Humanities","2013-10-03","2013-10-05","St. Petersburg","","51","","Pim van Bree, Geert Kessels","","n","True","True","2013 Herzen State Pedagogical University St. Petersburg","2013 - Herzen State Pedagogical University"
"406","2014","South Carolina Digital Library, College of Charleston, and the Charleston Conference","","https://dhinthelibrary.wordpress.com/","Data Driven: Digital Humanities in the Library","2014-06-20","2014-06-22","Charleston","South Carolina","64","","Anna-Sophia Zingarelli-Sweet","","n","True","False","2014 South Carolina Digital Library, College of Charleston, and the Charleston Conference Charleston","2014 - South Carolina Digital Library, College of Charleston, and the Charleston Conference"
"407","2015","Kansas State University","","https://www.k-state.edu/digitalhumanities/symposium/schedule.html?fbclid=IwAR1n6AcoXi-CQewdoxNZ1kQdFljwFDAd2s0LzFWxmk4qIMbHrXSXNBEr8Hs","Exploring the Digital Medium: Cross Disciplinary Collaboration in the Digital Humanities","2015-02-27","2015-02-28","Manhattan","Kansas","64","https://www.k-state.edu/digitalhumanities/symposium/schedule.html?fbclid=IwAR1n6AcoXi-CQewdoxNZ1kQdFljwFDAd2s0LzFWxmk4qIMbHrXSXNBEr8Hs","Brian Rosenblum","","n","True","False","2015 Kansas State University Manhattan","2015 - Kansas State University"
"408","2016","National University of Singapore","","http://web.archive.org/web/20191021083719/http://digitalhumanities.sg/cultural-specificity-in-digital-collections/","Cultural Specificity in Digital Collections","2016-08-12","2016-08-14","Singapore","","44","","Miguel Escobar Varela","","n","True","False","2016 National University of Singapore Singapore Institution object (517)","2016 - National University of Singapore"
"409","2018","Universidad Autónoma de Querétaro","","http://www.fci.uaslp.mx/Documents/convocatorias/convocatoriachuaq.pdf","Coloquio Internacional de Humanidades Digitales UAQ","2018-10-22","2018-10-24","Santiago de Querétaro","","38","","Carlos A. Martínez, Scott Weingart","","n","True","False","2018 Universidad Autónoma de Querétaro Santiago de Querétaro","2018 - Universidad Autónoma de Querétaro"
"410","2018","Taipei","","https://www.accupass.com/event/1805090529021557390223","International Conference on Digital Humanities and Sinology","2018-06-04","2018-06-05","Taipei","","68","","Scott Weingart","","n","True","False","2018 Taipei Taipei","2018 - Taipei"
"411","2018","University of Lausanne","","https://wp.unil.ch/llist/event/comhum2018/","Workshop on Computational Methods in the Humanities 2018 (COMHUM 2018)","2018-06-04","2018-06-05","Lausanne","","9","","Michael Piotrowski","","n","True","False","2018 University of Lausanne Lausanne","2018 - University of Lausanne"
"412","2019","Centro Cultural Universitario Rogelio Salmona","https://hdigitales.sciencesconf.org/","https://hdigitales.sciencesconf.org/data/pages/ProgramaHDV2.pdf","Coloquio de Humanidades Digitales","2019-10-15","2019-10-17","Manizales","","66","","Scott Weingart","","n","True","False","2019 Centro Cultural Universitario Rogelio Salmona Manizales","2019 - Centro Cultural Universitario Rogelio Salmona"
"413","2019","Singapore University of Technology and Design","","https://hass.sutd.edu.sg/news-events/event/seminar-series/digital-humanities-working-different-kinds-text-digital-humanities/","Digital Humanities – Working with different kinds of ‘text’ in the Digital Humanities","2019-03-18","2019-03-19","Singapore","","44","","Miguel Escobar Varela","","n","True","False","2019 Singapore University of Technology and Design Singapore","2019 - Singapore University of Technology and Design"
"414","2019","Università La Sapienza","","https://saras.uniroma1.it/archivionotizie/ripensare-i-saperi-forma-digitale-esperienze-e-metodologie-di-digital-humanities","Ripensare i saperi in forma digitale: esperienze e metodologie di Digital Humanities a confronto","2019-04-01","2019-04-02","Rome","","26","","Pim van Bree, Geert Kessels","","n","True","False","2019 Università La Sapienza Rome","2019 - Università La Sapienza"
"415","2019","IIT Hyderabad","","https://www.digitalhumanities.in/","The Arts, Knowledge, and Critique in the Digital Age in India: Addressing Challenges in the Digital Humanities","2019-11-28","2019-11-29","Hyderabad","","14","","Scott Weingart","","c","True","False","2019 IIT Hyderabad Hyderabad","2019 - IIT Hyderabad"
"416","2019","The Chinese University of Hong Kong","","http://dh.tra.cuhk.edu.hk/index.html","Translation Studies and the Digital Humanities","2019-12-09","2019-12-11","Hong Kong","","22","","Scott Weingart","","n","False","False","2019 The Chinese University of Hong Kong Hong Kong","2019 - The Chinese University of Hong Kong"
"417","2020","German Studies Association","","https://www.thegsa.org/blog/cfa-gsa-seminar-participation-applications-due-jan-27#Digital%20Humanities%20and%20the%20Second%20World%20War","Digital Humanities and the Second World War: Sources, Approaches and Presentation","2020-10-01","2020-10-04","Washington, D.C.","","64","","Christoph Kudella","","n","False","False","2020 German Studies Association Washington, D.C.","2020 - German Studies Association"
"419","2008","Vancouver, Washington","","https://dtc-wsuv.org/elit/elo08/conference.html","Visionary Landscapes","2008-05-29","2008-06-01","Vancouver","Washington","64","","","","n","True","True","2008 Vancouver, Washington Vancouver Institution object (1848) Institution object (1849) Electronic Literature Organization ELO Electronic Literature Organization ELO","2008 - Vancouver, Washington"
"420","2010","Brown","","https://www.brown.edu/Conference/Electronic_Literature_Organization/","Archive / Innovate","2010-06-03","2010-06-06","Providence","Rhode Island","64","","","","n","False","False","2010 Brown Providence Institution object (85) Electronic Literature Organization ELO Electronic Literature Organization ELO","2010 - Brown"
"421","2012","Morgantown","","http://el.eliterature.org/","Electrifying Literature: Affordances & Constraints","2012-06-20","2012-06-23","Morgantown","West Virginia","64","","","","n","True","False","2012 Morgantown Morgantown Institution object (1173) Electronic Literature Organization ELO Electronic Literature Organization ELO","2012 - Morgantown"
"422","2013","Paris","","http://web.archive.org/web/20140709182714/http://conference.eliterature.org/2013/program","Chercher le Texte: Locating the Text in Electronic Literature","2013-09-23","2013-09-28","Paris","","2","","","","n","True","True","2013 Paris Paris Institution object (1275) Electronic Literature Organization ELO Electronic Literature Organization ELO","2013 - Paris"
"423","2014","Milwaukee","","http://web.archive.org/web/20150508054139/https://conference.eliterature.org/archive/2014","Hold the Light: Identity, Change, Commitment","2014-06-19","2014-06-21","Milwaukee","Wisconsin","64","","","","n","True","False","2014 Milwaukee Milwaukee Institution object (1136) Electronic Literature Organization ELO Electronic Literature Organization ELO","2014 - Milwaukee"
"424","2015","Bergen","","http://web.archive.org/web/20180831030045/https://conference.eliterature.org/archive/2015","The Ends of Electronic Literature","2015-08-05","2015-08-07","Bergen","","35","https://web.archive.org/web/20160331123141/http://elo2015.sched.org/list/descriptions/","","","n","True","True","2015 Bergen Bergen Institution object (907) Electronic Literature Organization ELO Electronic Literature Organization ELO","2015 - Bergen"
"425","2016","Victoria","","http://elo2016.com/","Next Horizons","2016-06-10","2016-06-12","Victoria","British Columbia","64","","","","n","True","False","2016 Victoria Victoria Institution object (1120) Electronic Literature Organization ELO Electronic Literature Organization ELO","2016 - Victoria"
"426","2017","Porto","","http://web.archive.org/web/20181113201417/https://conference.eliterature.org/archive/2017","Electronic Literature: Affiliations, Communities, Translations","2017-07-18","2017-07-22","Porto","","55","","","","n","True","True","2017 Porto Porto Institution object (1850) Electronic Literature Organization ELO Electronic Literature Organization ELO","2017 - Porto"
"427","2018","Montreal","","https://sites.grenadine.uqam.ca/sites/nt2/en/elo2018","Mind the Gap!","2018-08-13","2018-08-17","Montreal","Quebec","13","","","","n","True","True","2018 Montreal Montreal Institution object (849) Electronic Literature Organization ELO Electronic Literature Organization ELO","2018 - Montreal"
"428","2019","Cork","","http://elo2019.ucc.ie/","Peripheries","2019-07-15","2019-07-17","Cork","","16","","","","n","True","True","2019 Cork Cork Institution object (882) Electronic Literature Organization ELO Electronic Literature Organization ELO","2019 - Cork"
"429","2020","Orlando","","https://elo.cah.ucf.edu/","(un)continuity","2020-07-16","2020-07-19","Orlando","Florida","64","","","","n","False","False","2020 Orlando Orlando Institution object (937) Electronic Literature Organization ELO Electronic Literature Organization ELO","2020 - Orlando"
"430","1994","Gesellschaft für wissenschaftliche Datenverarbeitung Göttingen","","","","","","Göttingen","","4","","","","n","False","False","1994 Gesellschaft für wissenschaftliche Datenverarbeitung Göttingen Göttingen Institution object (1851) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","1994 - Gesellschaft für wissenschaftliche Datenverarbeitung Göttingen"
"431","1995","Universität Osnabrück","","","","","","Universität Osnabrück","","4","","","","n","False","False","1995 Universität Osnabrück Universität Osnabrück Institution object (1852) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","1995 - Universität Osnabrück"
"432","1997","ZHFS/GESIS Köln und Österreichisches Kulturinstitut Rom (gemeinsame Veranstaltung)","","","","","","Köln","","4","","","","n","False","False","1997 ZHFS/GESIS Köln und Österreichisches Kulturinstitut Rom (gemeinsame Veranstaltung) Köln Institution object (943) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","1997 - ZHFS/GESIS Köln und Österreichisches Kulturinstitut Rom (gemeinsame Veranstaltung)"
"433","1998","Frankfurt a.M. (Historikertrag, Rahmenprogramm)","","","","","","Frankfurt am Main","","4","","","","n","False","False","1998 Frankfurt a.M. (Historikertrag, Rahmenprogramm) Frankfurt am Main Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","1998 - Frankfurt a.M. (Historikertrag, Rahmenprogramm)"
"434","1999","Universität Siegen","","","","","","Siegen","","4","","","","n","False","False","1999 Universität Siegen Siegen Institution object (1853) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","1999 - Universität Siegen"
"435","2000","Aachen (Historikertag, Rahmenprogramm)","","","","","","Aachen","","4","","","","n","False","False","2000 Aachen (Historikertag, Rahmenprogramm) Aachen Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2000 - Aachen (Historikertag, Rahmenprogramm)"
"436","2001","Universitätsbibliothek Göttingen","","","","","","Göttingen","","4","","","","n","False","False","2001 Universitätsbibliothek Göttingen Göttingen Institution object (1221) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2001 - Universitätsbibliothek Göttingen"
"437","2002","Philipps-Universität Marburg","","","","","","Marburg","","4","","","","n","False","False","2002 Philipps-Universität Marburg Marburg Institution object (1854) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2002 - Philipps-Universität Marburg"
"438","2003","Westfälische Wilhelms-Universität Münster","","","","","","Münster","","4","","","","n","False","False","2003 Westfälische Wilhelms-Universität Münster Münster Institution object (1703) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2003 - Westfälische Wilhelms-Universität Münster"
"439","2004","Staatsbibliothek München","","","","","","München","","4","","","","n","False","False","2004 Staatsbibliothek München München Institution object (1855) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2004 - Staatsbibliothek München"
"440","2005","ZHSF/GESIS Köln","","","","","","Köln","","4","","","","n","False","False","2005 ZHSF/GESIS Köln Köln Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2005 - ZHSF/GESIS Köln"
"441","2006","Humboldt-Universität zu Berlin","","","","","","Berlin","","4","","","","n","False","False","2006 Humboldt-Universität zu Berlin Berlin Institution object (298) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2006 - Humboldt-Universität zu Berlin"
"442","2007","Universität Hamburg","","","","","","Hamburg","","4","","","","n","False","False","2007 Universität Hamburg Hamburg Institution object (814) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2007 - Universität Hamburg"
"443","2008","Johannes Gutenberg-Universität Mainz","","","","","","Mainz","","4","","","","n","False","False","2008 Johannes Gutenberg-Universität Mainz Mainz Institution object (2029) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2008 - Johannes Gutenberg-Universität Mainz"
"444","2009","Universität Trier","","","","","","Trier","","4","","","","n","False","False","2009 Universität Trier Trier Institution object (823) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2009 - Universität Trier"
"445","2010","Weiden (KZ-Gedenkstätte Flossenbürg)","","","","","","Weiden","","4","","","","n","False","False","2010 Weiden (KZ-Gedenkstätte Flossenbürg) Weiden Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2010 - Weiden (KZ-Gedenkstätte Flossenbürg)"
"446","2011","Universität Innsbruck","","","","","","Innsbruck","","5","","","","n","False","False","2011 Universität Innsbruck Innsbruck Institution object (1856) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2011 - Universität Innsbruck"
"447","2012","Universität Stuttgart","","","","","","Stuttgart","","4","","","","n","False","False","2012 Universität Stuttgart Stuttgart Institution object (822) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2012 - Universität Stuttgart"
"448","2013","Philipps-Universität Marburg","","","","","","Marburg","","4","","","","n","False","False","2013 Philipps-Universität Marburg Marburg Institution object (1854) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2013 - Philipps-Universität Marburg"
"449","2014","Institut für Ost- und Südosteuropaforschung Regensburg","","","","","","Germany","","4","","","","n","False","False","2014 Institut für Ost- und Südosteuropaforschung Regensburg Germany Institution object (1857) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2014 - Institut für Ost- und Südosteuropaforschung Regensburg"
"450","2015","Max-Weber-Kolleg für kultur- und sozialwissenschaftliche Studien der Universität Erfurt","","","","","","Erfurt","","4","","","","n","False","False","2015 Max-Weber-Kolleg für kultur- und sozialwissenschaftliche Studien der Universität Erfurt Erfurt Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2015 - Max-Weber-Kolleg für kultur- und sozialwissenschaftliche Studien der Universität Erfurt"
"451","2016","Universität Salzburg","","","","","","Salzburg","","5","","","","n","False","False","2016 Universität Salzburg Salzburg Institution object (1858) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2016 - Universität Salzburg"
"452","2017","Universität Leipzig","","","","","","Leipzig","","4","","","","n","False","False","2017 Universität Leipzig Leipzig Institution object (817) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2017 - Universität Leipzig"
"453","2018","Universität Flensburg","","","","","","Flensburg","","4","","","","n","False","False","2018 Universität Flensburg Flensburg Institution object (1859) Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2018 - Universität Flensburg"
"454","2019","Marburg","","","","","","Marburg","","4","","","","n","False","False","2019 Marburg Marburg Arbeitsgemeinschaft Geschichte und EDV eV AGE Arbeitsgemeinschaft Geschichte und EDV eV AGE Association for History and Computing AHC","2019 - Marburg"
"455","2019","Tampa","","http://web.archive.org/web/20191214051306/https://forum2019.diglib.org/","","2019-10-14","2019-10-16","Tampa","Florida","64","","Trevor Owens","","n","True","True","2019 Tampa Tampa Digital Library Federation Forum DLF Forum Digital Library Federation DLF","2019 - Tampa"
